price,bedrooms,geometry
221900.0,3.0,POINT (-122.257 47.5112)
538000.0,3.0,POINT (-122.319 47.721)
180000.0,2.0,POINT (-122.233 47.7379)
604000.0,4.0,POINT (-122.393 47.5208)
510000.0,3.0,POINT (-122.045 47.6168)
1225000.0,4.0,POINT (-122.005 47.6561)
257500.0,3.0,POINT (-122.327 47.3097)
291850.0,3.0,POINT (-122.315 47.4095)
229500.0,3.0,POINT (-122.337 47.5123)
323000.0,3.0,POINT (-122.031 47.3684)
662500.0,3.0,POINT (-122.145 47.6007)
468000.0,2.0,POINT (-122.292 47.69)
310000.0,3.0,POINT (-122.229 47.7558)
400000.0,3.0,POINT (-122.045 47.6127)
530000.0,5.0,POINT (-122.394 47.67)
650000.0,4.0,POINT (-122.375 47.5714)
395000.0,3.0,POINT (-121.962 47.7277)
485000.0,4.0,POINT (-122.343 47.6648)
189000.0,2.0,POINT (-122.21 47.3089)
230000.0,3.0,POINT (-122.306 47.3343)
385000.0,4.0,POINT (-122.341 47.7025)
2000000.0,3.0,POINT (-122.233 47.5316)
285000.0,5.0,POINT (-122.169 47.3266)
252700.0,2.0,POINT (-122.166 47.3533)
329000.0,3.0,POINT (-122.172 47.3739)
233000.0,3.0,POINT (-122.218 47.3048)
937000.0,3.0,POINT (-122.36 47.6386)
667000.0,3.0,POINT (-122.314 47.6221)
438000.0,3.0,POINT (-122.304 47.695)
719000.0,4.0,POINT (-122.11 47.7073)
580500.0,3.0,POINT (-122.07 47.5391)
280000.0,2.0,POINT (-122.357 47.7274)
687500.0,4.0,POINT (-122.368 47.6823)
535000.0,3.0,POINT (-122.375 47.6889)
322500.0,4.0,POINT (-122.157 47.4276)
696000.0,3.0,POINT (-122.31 47.6827)
550000.0,4.0,POINT (-122.132 47.6621)
640000.0,4.0,POINT (-122.362 47.6702)
240000.0,4.0,POINT (-122.282 47.3341)
605000.0,4.0,POINT (-122.18 47.5301)
625000.0,4.0,POINT (-122.027 47.6145)
775000.0,4.0,POINT (-122.347 47.445)
861990.0,5.0,POINT (-122.016 47.6848)
685000.0,3.0,POINT (-122.364 47.6413)
309000.0,3.0,POINT (-122.175 47.4485)
488000.0,3.0,POINT (-121.977 47.7443)
210490.0,3.0,POINT (-122.371 47.3066)
785000.0,4.0,POINT (-122.151 47.6194)
450000.0,3.0,POINT (-122.301 47.6796)
1350000.0,3.0,POINT (-122.451 47.4041)
228000.0,3.0,POINT (-122.322 47.4258)
345000.0,5.0,POINT (-122.189 47.4934)
600000.0,3.0,POINT (-122.384 47.6808)
585000.0,2.0,POINT (-122.369 47.6989)
920000.0,5.0,POINT (-122.281 47.6571)
885000.0,4.0,POINT (-122.29 47.6597)
292500.0,4.0,POINT (-122.114 47.3663)
301000.0,3.0,POINT (-122.122 47.3663)
951000.0,5.0,POINT (-122.116 47.588)
430000.0,4.0,POINT (-122.149 47.5059)
650000.0,3.0,POINT (-122.339 47.4336)
289000.0,3.0,POINT (-122.335 47.4366)
505000.0,3.0,POINT (-122.344 47.4428)
549000.0,3.0,POINT (-122.32 47.6765)
425000.0,3.0,POINT (-122.297 47.6113)
317625.0,3.0,POINT (-122.304 47.5747)
975000.0,4.0,POINT (-122.192 47.5815)
287000.0,4.0,POINT (-122.257 47.3378)
204000.0,3.0,POINT (-122.11 47.3621)
1325000.0,5.0,POINT (-122.215 47.6303)
1040000.0,5.0,POINT (-122.16 47.6525)
325000.0,3.0,POINT (-122.179 47.7362)
571000.0,4.0,POINT (-122.287 47.7168)
360000.0,4.0,POINT (-122.036 47.3608)
349000.0,3.0,POINT (-122.073 47.3511)
832500.0,4.0,POINT (-121.987 47.5822)
380000.0,4.0,POINT (-122.125 47.6034)
480000.0,3.0,POINT (-122.394 47.5636)
410000.0,3.0,POINT (-122.34 47.7073)
720000.0,4.0,POINT (-122.025 47.342)
390000.0,3.0,POINT (-122.008 47.3512)
360000.0,4.0,POINT (-122.031 47.349)
355000.0,2.0,POINT (-122.291 47.5474)
356000.0,3.0,POINT (-122.149 47.4811)
315000.0,3.0,POINT (-122.31 47.7264)
940000.0,3.0,POINT (-122.365 47.6337)
305000.0,5.0,POINT (-122.189 47.2909)
461000.0,3.0,POINT (-122.199 47.5228)
215000.0,2.0,POINT (-122.194 47.518)
335000.0,2.0,POINT (-122.387 47.5394)
243500.0,4.0,POINT (-122.372 47.2897)
1099880.0,5.0,POINT (-122.391 47.6506)
153000.0,3.0,POINT (-122.351 47.322)
430000.0,3.0,POINT (-122.386 47.687)
700000.0,3.0,POINT (-122.386 47.687)
905000.0,4.0,POINT (-122.249 47.5873)
247500.0,3.0,POINT (-122.277 47.3576)
199000.0,4.0,POINT (-122.378 47.3036)
314000.0,3.0,POINT (-121.958 47.4109)
437500.0,3.0,POINT (-121.714 47.4838)
850830.0,3.0,POINT (-122.315 47.6415)
555000.0,3.0,POINT (-122.372 47.6775)
699950.0,3.0,POINT (-122.08 47.7731)
1088000.0,3.0,POINT (-122.196 47.5814)
290000.0,3.0,POINT (-122.184 47.4375)
375000.0,3.0,POINT (-122.133 47.4431)
460000.0,3.0,POINT (-122.38 47.6878)
188500.0,2.0,POINT (-122.322 47.3813)
680000.0,4.0,POINT (-122.082 47.7304)
470000.0,5.0,POINT (-122.109 47.6417)
597750.0,4.0,POINT (-122.053 47.5386)
570000.0,3.0,POINT (-122.349 47.6823)
272500.0,3.0,POINT (-122.031 47.3624)
329950.0,3.0,POINT (-122.295 47.5474)
480000.0,4.0,POINT (-122.253 47.3183)
740500.0,3.0,POINT (-122.368 47.6981)
518500.0,3.0,POINT (-122.347 47.6824)
205425.0,2.0,POINT (-122.248 47.5009)
171800.0,4.0,POINT (-122.303 47.4965)
535000.0,4.0,POINT (-122.294 47.587)
660000.0,3.0,POINT (-122.386 47.7728)
391500.0,3.0,POINT (-122.226 47.7288)
395000.0,2.0,POINT (-122.364 47.6999)
445000.0,4.0,POINT (-122.266 47.5299)
770000.0,3.0,POINT (-122.098 47.6897)
1450000.0,4.0,POINT (-122.212 47.6141)
445000.0,3.0,POINT (-122.244 47.5091)
260000.0,4.0,POINT (-122.39 47.3129)
822500.0,5.0,POINT (-122.352 47.6763)
430000.0,4.0,POINT (-121.85 47.5319)
212000.0,3.0,POINT (-122.152 47.2761)
660500.0,4.0,POINT (-122.054 47.5343)
784000.0,3.0,POINT (-122.072 47.697)
453246.0,3.0,POINT (-121.998 47.5517)
675000.0,4.0,POINT (-122.38 47.6734)
199000.0,3.0,POINT (-122.296 47.3257)
220000.0,4.0,POINT (-122.299 47.3309)
452000.0,4.0,POINT (-122.266 47.7689)
382500.0,2.0,POINT (-122.287 47.7135)
519950.0,3.0,POINT (-122.381 47.6722)
665000.0,2.0,POINT (-122.358 47.6338)
527700.0,5.0,POINT (-122.128 47.5707)
205000.0,3.0,POINT (-122.171 47.4563)
420000.0,3.0,POINT (-122.351 47.7144)
500000.0,4.0,POINT (-122.174 47.5495)
921500.0,4.0,POINT (-122.026 47.7421)
890000.0,4.0,POINT (-122.353 47.6354)
430000.0,2.0,POINT (-121.943 47.5262)
258000.0,5.0,POINT (-122.286 47.3887)
511000.0,3.0,POINT (-122.336 47.6873)
532170.0,3.0,POINT (-122.353 47.6838)
560000.0,3.0,POINT (-122.359 47.655)
282950.0,3.0,POINT (-122.304 47.3255)
2250000.0,4.0,POINT (-122.162 47.562)
350000.0,1.0,POINT (-122.3 47.679)
215000.0,3.0,POINT (-122.176 47.4479)
650000.0,5.0,POINT (-122.172 47.525)
320000.0,4.0,POINT (-122.369 47.3135)
247000.0,3.0,POINT (-121.996 47.2086)
320000.0,4.0,POINT (-122.118 47.4715)
255000.0,5.0,POINT (-122.335 47.4877)
438000.0,3.0,POINT (-122.193 47.7171)
900000.0,3.0,POINT (-122.023 47.6012)
441000.0,3.0,POINT (-122.224 47.7319)
420000.0,3.0,POINT (-122.023 47.4582)
370000.0,3.0,POINT (-122.168 47.7209)
269950.0,2.0,POINT (-122.327 47.408)
807100.0,4.0,POINT (-122.125 47.565)
653000.0,3.0,POINT (-122.231 47.7028)
371500.0,3.0,POINT (-122.331 47.7458)
284000.0,3.0,POINT (-122.337 47.4776)
272000.0,3.0,POINT (-122.374 47.3026)
313000.0,3.0,POINT (-122.339 47.7658)
917500.0,4.0,POINT (-122.182 47.6477)
673000.0,4.0,POINT (-122.125 47.5619)
425000.0,3.0,POINT (-122.31 47.6106)
399950.0,5.0,POINT (-122.308 47.5868)
385000.0,3.0,POINT (-122.307 47.6101)
269950.0,3.0,POINT (-121.999 47.1976)
330000.0,2.0,POINT (-122.358 47.7224)
260000.0,3.0,POINT (-122.179 47.3505)
470000.0,4.0,POINT (-122.376 47.5384)
589000.0,4.0,POINT (-122.2 47.7044)
163500.0,2.0,POINT (-122.039 47.3848)
835000.0,4.0,POINT (-122.102 47.6993)
1095000.0,5.0,POINT (-122.188 47.6627)
269000.0,4.0,POINT (-122.379 47.3099)
560000.0,3.0,POINT (-122.043 47.62)
615000.0,4.0,POINT (-122.34 47.65)
585188.0,3.0,POINT (-122.153 47.6647)
305000.0,3.0,POINT (-122.191 47.726)
166950.0,3.0,POINT (-122.184 47.4616)
799000.0,3.0,POINT (-122.219 47.5505)
400000.0,3.0,POINT (-122.336 47.7606)
230000.0,3.0,POINT (-122.3 47.7481)
256883.0,3.0,POINT (-122.347 47.2779)
423000.0,4.0,POINT (-122.312 47.5511)
465000.0,3.0,POINT (-122.372 47.5488)
440000.0,3.0,POINT (-121.911 47.5385)
385000.0,3.0,POINT (-121.994 47.4058)
210000.0,3.0,POINT (-122.184 47.5093)
297000.0,3.0,POINT (-122.165 47.3777)
470000.0,3.0,POINT (-122.394 47.675)
226500.0,3.0,POINT (-122.37 47.3025)
274250.0,3.0,POINT (-122.158 47.4787)
840000.0,4.0,POINT (-122.219 47.5378)
677900.0,3.0,POINT (-122.114 47.7073)
425000.0,3.0,POINT (-122.381 47.5733)
180250.0,2.0,POINT (-122.339 47.4604)
464000.0,6.0,POINT (-122.343 47.7067)
320000.0,4.0,POINT (-122.047 47.354)
625504.0,3.0,POINT (-122.284 47.6647)
592500.0,4.0,POINT (-122.017 47.6143)
465000.0,3.0,POINT (-122.275 47.3185)
477000.0,4.0,POINT (-122.268 47.5458)
280000.0,2.0,POINT (-122.299 47.4889)
1505000.0,5.0,POINT (-122.21 47.5673)
445838.0,3.0,POINT (-122.379 47.5133)
1072000.0,2.0,POINT (-122.291 47.5884)
467000.0,2.0,POINT (-122.367 47.7145)
686000.0,4.0,POINT (-122.026 47.5836)
279950.0,3.0,POINT (-122.299 47.398)
527000.0,4.0,POINT (-122.215 47.7663)
325000.0,3.0,POINT (-122.217 47.3758)
328000.0,3.0,POINT (-122.023 47.3828)
390000.0,3.0,POINT (-122.373 47.5123)
479950.0,2.0,POINT (-122.013 47.7076)
264950.0,4.0,POINT (-122.371 47.2922)
235000.0,3.0,POINT (-122.214 47.4075)
516500.0,3.0,POINT (-122.034 47.6794)
655000.0,2.0,POINT (-122.375 47.4497)
500000.0,4.0,POINT (-122.164 47.5218)
315000.0,6.0,POINT (-122.339 47.3103)
213000.0,2.0,POINT (-121.899 47.5687)
475000.0,3.0,POINT (-122.303 47.5575)
1025000.0,5.0,POINT (-122.183 47.6489)
416000.0,3.0,POINT (-121.95 47.3459)
410000.0,4.0,POINT (-122.303 47.6136)
800000.0,3.0,POINT (-122.023 47.7641)
472000.0,6.0,POINT (-122.324 47.3376)
225000.0,3.0,POINT (-122.319 47.3173)
210000.0,2.0,POINT (-122.376 47.5308)
455000.0,2.0,POINT (-122.299 47.6727)
225000.0,3.0,POINT (-122.216 47.3221)
480000.0,2.0,POINT (-122.353 47.6779)
363000.0,3.0,POINT (-122.395 47.3076)
2400000.0,4.0,POINT (-122.072 47.6338)
181000.0,2.0,POINT (-122.357 47.5218)
250000.0,4.0,POINT (-122.213 47.2785)
481000.0,3.0,POINT (-122.345 47.6846)
260000.0,3.0,POINT (-122.278 47.3656)
455000.0,4.0,POINT (-122.111 47.4369)
415000.0,3.0,POINT (-121.711 47.4616)
349500.0,3.0,POINT (-122.27 47.5405)
